x y z u v depth
-0.342831 -0.883762 0.751293 18.767826 66.550414 -0.607391
0.069885 -0.881475 1.010792 52.330823 58.940735 -0.630449
0.088437 -0.882244 1.009217 53.121080 57.972868 -0.629525
0.108304 -0.883739 1.003187 53.747987 56.718479 -0.627507
0.112894 -0.881221 1.048029 56.182620 58.665938 -0.633709
0.133592 -0.883819 1.041788 56.835965 57.365087 -0.630573
0.152758 -0.884739 1.044666 57.877139 56.579175 -0.629865
0.169708 -0.884659 1.053018 59.084610 56.170616 -0.630608
0.183219 -0.885525 1.075567 60.807676 56.602683 -0.631584
0.202624 -0.888356 1.068557 61.387784 55.309685 -0.628155
0.217220 -0.887974 1.089692 63.094657 55.635879 -0.630257
0.231685 -0.886656 1.100130 64.271690 55.459982 -0.632410
0.241035 -0.884615 1.132541 66.229664 56.585226 -0.637104
0.259142 -0.884943 1.126908 66.817009 55.455113 -0.636284
0.265578 -0.879721 1.175244 69.306614 57.482904 -0.645467
0.276616 -0.876073 1.203789 71.067655 58.320737 -0.651440
0.284165 -0.872736 1.253705 73.595658 60.279786 -0.658873
0.305953 -0.871778 1.249274 74.368196 59.082602 -0.659429
0.316746 -0.867615 1.280288 76.132460 60.012322 -0.666120
0.325239 -0.862316 1.314812 77.882933 61.183583 -0.674236
0.334525 -0.860297 1.333999 79.062436 61.619623 -0.677817
0.366772 -0.863570 1.344566 81.024348 60.648068 -0.675378
0.392423 -0.867468 1.308504 80.737492 57.865888 -0.668479
0.414208 -0.869436 1.286793 80.836154 55.878076 -0.664693
0.427003 -0.866723 1.314292 82.506888 56.572952 -0.669646
0.448296 -0.867132 1.287111 82.310300 54.369306 -0.666963
0.461760 -0.864806 1.309216 83.778735 54.794193 -0.671084
0.482903 -0.865159 1.290206 83.926603 52.970364 -0.669132
0.512222 -0.869913 1.217794 82.291762 48.193396 -0.658375
0.536372 -0.864257 1.252689 84.692949 48.836927 -0.666854
0.585670 -0.867393 1.158940 82.995159 42.077467 -0.655918
0.642894 -0.859756 1.111810 83.303181 37.426308 -0.659553
0.641206 -0.816553 1.437314 94.657305 53.166601 -0.729468
0.625364 -0.799284 1.410477 92.262988 52.896771 -0.744488
-1.153831 -0.827341 0.040606 -56.730531 71.813312 -0.606222
0.568094 -0.837756 0.988906 74.051727 35.731603 -0.671452
0.624691 -0.849295 0.845150 70.395061 25.520038 -0.648005
0.677532 -0.841185 0.861578 73.424726 24.355019 -0.657362
